"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"instances-10000-moving","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","84","5004,349","16,785400059028657","52,165","107,643","156,83059","19,0159109941","72,4829930221","100,069981932","0,002","3,791","10,898","23,688000000000002","0,181","10004","10004","10004","2","2","32","1","9","0","1","0","1426742","308383744","244035584","73789376","38823561584"
"instances-10000-moving","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","70","5041,887","13,883690768952182","62,3175","145,56795","172,55987","13,5085152952","105,73439846","159,462981003","0,002","4,418","11,8895","33,989999999999995","0,20450000000000002","10004","10004","10004","2","2","32","1","9","0","1","0","1426806","308396032","243998720","73789376","38823561584"
"instances-10000-moving","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","99","5152,635","19,21347038942211","38,837","79,8513","169,93636","13,8509371618","77,0104252032","297,872779186","0,002","3,407","8,128","18,591","0,17","10004","10004","10004","2","2","32","1","9","0","1","0","1426708","308113408","243798016","73789376","38823561584"
"instances-10000-moving","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","57","5068,334","11,24629907973705","82,081","130,0374","160,40492","15,878853779","89,211997822","133,303423829","0,002","5,369","18,446","40,857","0,2","10004","10004","10004","2","2","32","1","9","0","1","0","1426712","308293632","243920896","73789376","38823561584"
"instances-10000-moving","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","73","5108,895","14,288804134749293","67,562","106,9652","175,60308","10,8842705676","64,620227589","153,777452496","0,002","4,796","15,051","35,879","0,199","10004","10004","10004","2","2","32","1","9","0","1","0","1426764","308543488","245620736","73789376","38823561584"
"instances-10000-moving","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","88","5025,433","17,510928909011422","50,9135","103,95555","125,4957","41,7333843978","77,2718392593","89,8084967657","1,927","3,5495","9,3015","22,786499999999997","0,1745","10004","10004","10004","2","2","32","1","9","0","1","0","1426880","308568064","246083584","73789376","38823561584"
"lights-1","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","473","5119,89","92,38479732963012","4,584","48,0326","89,51164","3,50583324774","38,4202282287","71,6135336683","3,197","0,014","0,053","0,092","0,013","40","40","40","2","2","11","1","0","2","1","0","6224","287293440","232108032","70948032","38823561584"
"lights-1","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","701","5000,812","140,17723521700077","6,418","14,222","22,126","5,10640612533","11,2140101429","18,6230203787","5,898","0,011","0,032","0,06","0,012","40","40","40","2","2","11","1","0","2","1","0","6224","286900224","232005632","70948032","38823561584"
"lights-1","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","592","5025,52","117,79875515369552","6,251","23,9275","46,34495","5,27921862111","20,1838771114","33,8065455288","5,9345","0,009","0,028","0,047","0,009","40","40","40","2","2","11","1","0","2","1","0","6224","286834688","231997440","70948032","38823561584"
"lights-1","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1180","5003,309","235,84391849474017","3,6165","6,90015","15,19947","2,77929680715","5,81174464978","14,2084767364","3,2945","0,008","0,037","0,059","0,007","40","40","40","2","2","11","1","0","2","1","0","6224","286900224","232108032","70948032","38823561584"
"lights-1","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","973","5002,946","194,4854091969012","3,818","10,513","28,74064","3,21656242147","8,49807270919","21,5211994746","3,497","0,009","0,039","0,055","0,007","40","40","40","2","2","11","1","0","2","1","0","6224","286683136","231874560","70948032","38823561584"
"lights-1","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1246","5008,052","248,79933355324587","3,39","6,827","11,4418","2,73710930818","5,66328111174","10,6126742201","3,0895","0,008","0,0285","0,0455","0,007","40","40","40","2","2","11","1","0","2","1","0","6224","286855168","232050688","70948032","38823561584"
"lights-8","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","b400700b2a4a68c3a2458486a1cc4b782c5a2b70f354c025fb025c0313f96e16","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","475","5000,515","94,9902160077512","8,153","24,2628","50,63836","6,97041649649","21,476301559","47,7575290424","7,724","0,01","0,041","0,142","0,009","40","40","40","9","9","11","1","0","9","1","0","8576","286896128","232017920","82693504","38823561584"
