[Metrics] FPS: 1739.574829 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.065408ms | CPU: 3.641492% | RAM: 103MB
[Metrics] FPS: 1945.300415 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.066624ms | CPU: 5.986608% | RAM: 103MB
[Metrics] FPS: 2013.273560 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061632ms | CPU: 6.508182% | RAM: 103MB
[Metrics] FPS: 1995.453979 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061312ms | CPU: 7.021466% | RAM: 103MB
[Metrics] FPS: 1831.382690 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061280ms | CPU: 6.248263% | RAM: 103MB
[Metrics] FPS: 1798.833130 | Visible chunks: 20 | Visible polys: 3218 | GPU: 0.062016ms | CPU: 6.511909% | RAM: 103MB
[Metrics] FPS: 1821.212524 | Visible chunks: 20 | Visible polys: 3218 | GPU: 0.058112ms | CPU: 6.767291% | RAM: 103MB
[Metrics] FPS: 1823.037476 | Visible chunks: 17 | Visible polys: 6190 | GPU: 0.061792ms | CPU: 5.718499% | RAM: 103MB
[Metrics] FPS: 1737.174805 | Visible chunks: 16 | Visible polys: 6192 | GPU: 0.061216ms | CPU: 6.776359% | RAM: 103MB
[Metrics] FPS: 1758.516846 | Visible chunks: 14 | Visible polys: 8594 | GPU: 0.064640ms | CPU: 6.495132% | RAM: 103MB
[Metrics] FPS: 1803.373779 | Visible chunks: 13 | Visible polys: 8574 | GPU: 0.060736ms | CPU: 6.782162% | RAM: 103MB
[Metrics] FPS: 1874.360474 | Visible chunks: 16 | Visible polys: 8698 | GPU: 0.064384ms | CPU: 7.277067% | RAM: 103MB
[Metrics] FPS: 1818.156738 | Visible chunks: 17 | Visible polys: 4980 | GPU: 0.055552ms | CPU: 6.510954% | RAM: 104MB
[Metrics] FPS: 1832.613525 | Visible chunks: 12 | Visible polys: 4696 | GPU: 0.051872ms | CPU: 7.029400% | RAM: 104MB
[Metrics] FPS: 1584.774292 | Visible chunks: 10 | Visible polys: 7132 | GPU: 0.055936ms | CPU: 6.499365% | RAM: 104MB
[Metrics] FPS: 1918.880005 | Visible chunks: 14 | Visible polys: 7154 | GPU: 0.062112ms | CPU: 7.292234% | RAM: 104MB
[Metrics] FPS: 1738.051147 | Visible chunks: 17 | Visible polys: 4722 | GPU: 0.059680ms | CPU: 7.816364% | RAM: 104MB
[Metrics] FPS: 1684.550049 | Visible chunks: 18 | Visible polys: 3150 | GPU: 0.057760ms | CPU: 4.685928% | RAM: 104MB
