"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"lights-8","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","b400700b2a4a68c3a2458486a1cc4b782c5a2b70f354c025fb025c0313f96e16","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","367","5014,623","73,1859603403885","9,804","31,3554","45,41736","9,13593727695","30,3006346769","53,7554591043","9,178","0,012","0,041","0,172","0,01","40","40","40","9","9","11","1","0","9","1","0","8576","286814208","230305792","82693504","38823561584"
"lights-8","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","b400700b2a4a68c3a2458486a1cc4b782c5a2b70f354c025fb025c0313f96e16","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","324","5000,874","64,78867493962056","10,029","42,14895","65,10934","9,40286435377","39,6731136148","59,748902708","9,5405","0,012","0,041","0,179","0,01","40","40","40","9","9","11","1","0","9","1","0","8576","286572544","229928960","82693504","38823561584"
"lights-8","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","b400700b2a4a68c3a2458486a1cc4b782c5a2b70f354c025fb025c0313f96e16","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","433","5010,012","86,42693869795123","8,525","27,9084","44,84044","7,56817689856","24,7739889785","42,3447906329","8,067","0,01","0,04","0,156","0,009","40","40","40","9","9","11","1","0","9","1","0","8576","286924800","231862272","82693504","38823561584"
"lights-32","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9540bf61bb8295f856a61a2bd91cdee9ca0b3c4d8812e92a3c12e62601215332","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","187","5016,706","37,2754552489223","24,598","44,7972","52,39262","23,3426035968","42,0582333482","50,6149820976","23,635","0,012","0,046","0,526","0,01","40","40","40","33","33","58","2","24","29","2","0","17572","422449152","366542848","135402880","38823561584"
"lights-32","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9540bf61bb8295f856a61a2bd91cdee9ca0b3c4d8812e92a3c12e62601215332","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","145","5033,229","28,808544177107777","29,519","63,972","90,208","28,7020305493","60,852477681","89,1558499067","28,492","0,012","0,044","0,502","0,01","40","40","40","33","33","58","2","24","29","2","0","17572","422457344","366612480","135402880","38823561584"
"lights-32","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9540bf61bb8295f856a61a2bd91cdee9ca0b3c4d8812e92a3c12e62601215332","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","160","5022,789","31,854812137240884","29,9135","50,1517","58,96677","29,3149992843","48,6310326669","58,7156496082","28,591","0,013","0,043","0,5585","0,012","40","40","40","33","33","58","2","24","29","2","0","17572","422141952","364699648","135402880","38823561584"
"lights-128","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","ccdc65a24c76e16ce8f36ce29673aaa54684062b934779c10de9ad4c03a0f659","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","40","5038,899","7,938242064387477","120,9145","189,2982","202,07984","124,393512588","186,245904307","204,84457677","114,825","0,0165","0,1965","3,7154999999999996","0,018","40","40","40","129","129","1336","5","768","1","5","0","78420","425820160","367882240","135518144","38823561584"
"lights-128","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","ccdc65a24c76e16ce8f36ce29673aaa54684062b934779c10de9ad4c03a0f659","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","38","5013,244","7,579922301806974","123,8335","230,7445","244,29168","123,328538656","230,757754783","241,018758178","118,548","0,017","0,2215","3,9995000000000003","0,019","40","40","40","129","129","1336","5","768","1","5","0","78420","425377792","367636480","135518144","38823561584"
"lights-128","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","ccdc65a24c76e16ce8f36ce29673aaa54684062b934779c10de9ad4c03a0f659","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","40","5091,058","7,856913042436366","126,149","175,15615","212,69138","123,811142811","207,415851707","306,010185758","117,7165","0,017","0,2075","3,933","0,018","40","40","40","129","129","1336","5","768","1","5","0","78420","425447424","367669248","135518144","38823561584"
"moving-lights-32","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","138","5028,706","27,442447420867317","31,6945","73,53235","92,11845","29,9603378102","73,5208810176","92,0187691076","29,7185","0,023","0,06","0,9085000000000001","0,011","40","40","40","33","33","345","2","192","1","2","0","24056","422633472","366882816","135409664","38823561584"
